Start,Finish,Heart Rate (count/min)
14-Oct-2017 10:21,14-Oct-2017 10:21,64.0
14-Oct-2017 10:23,14-Oct-2017 10:23,68.0
14-Oct-2017 10:26,14-Oct-2017 10:26,73.0
14-Oct-2017 10:48,14-Oct-2017 10:48,79.0
14-Oct-2017 10:56,14-Oct-2017 10:56,103.0
14-Oct-2017 10:57,14-Oct-2017 10:57,106.0
14-Oct-2017 11:05,14-Oct-2017 11:05,81.0
14-Oct-2017 11:18,14-Oct-2017 11:18,88.0
14-Oct-2017 11:27,14-Oct-2017 11:27,106.0
14-Oct-2017 11:40,14-Oct-2017 11:40,90.0
14-Oct-2017 11:50,14-Oct-2017 11:50,83.0
14-Oct-2017 12:01,14-Oct-2017 12:01,73.0
14-Oct-2017 12:04,14-Oct-2017 12:04,97.0
14-Oct-2017 12:07,14-Oct-2017 12:07,81.0
14-Oct-2017 12:13,14-Oct-2017 12:13,81.0
14-Oct-2017 12:18,14-Oct-2017 12:18,75.0
14-Oct-2017 12:23,14-Oct-2017 12:23,75.0
14-Oct-2017 12:32,14-Oct-2017 12:32,70.0
14-Oct-2017 12:33,14-Oct-2017 12:33,81.0
14-Oct-2017 12:39,14-Oct-2017 12:39,77.0
14-Oct-2017 12:46,14-Oct-2017 12:46,74.0
14-Oct-2017 12:51,14-Oct-2017 12:51,72.0
14-Oct-2017 12:57,14-Oct-2017 12:57,79.0
14-Oct-2017 13:01,14-Oct-2017 13:01,69.0
14-Oct-2017 13:03,14-Oct-2017 13:03,81.0
14-Oct-2017 13:10,14-Oct-2017 13:10,73.0
14-Oct-2017 13:17,14-Oct-2017 13:17,69.0
14-Oct-2017 13:18,14-Oct-2017 13:18,90.0
14-Oct-2017 13:25,14-Oct-2017 13:25,63.0
14-Oct-2017 13:31,14-Oct-2017 13:31,63.0
14-Oct-2017 13:35,14-Oct-2017 13:35,65.0
14-Oct-2017 13:40,14-Oct-2017 13:40,89.0
14-Oct-2017 13:45,14-Oct-2017 13:45,58.0
14-Oct-2017 13:48,14-Oct-2017 13:48,73.0
14-Oct-2017 13:53,14-Oct-2017 13:53,65.0
14-Oct-2017 14:00,14-Oct-2017 14:00,62.0
14-Oct-2017 14:02,14-Oct-2017 14:02,81.0
14-Oct-2017 14:08,14-Oct-2017 14:08,61.0
14-Oct-2017 14:16,14-Oct-2017 14:16,67.0
14-Oct-2017 14:24,14-Oct-2017 14:24,59.0
14-Oct-2017 14:31,14-Oct-2017 14:31,95.0
14-Oct-2017 14:34,14-Oct-2017 14:34,74.0
14-Oct-2017 14:38,14-Oct-2017 14:38,67.0
14-Oct-2017 14:41,14-Oct-2017 14:41,83.0
14-Oct-2017 14:48,14-Oct-2017 14:48,76.0
14-Oct-2017 15:04,14-Oct-2017 15:04,67.0
14-Oct-2017 17:07,14-Oct-2017 17:07,88.0
14-Oct-2017 17:29,14-Oct-2017 17:29,98.0
14-Oct-2017 17:40,14-Oct-2017 17:40,83.0
14-Oct-2017 18:26,14-Oct-2017 18:26,78.0
14-Oct-2017 18:27,14-Oct-2017 18:27,81.0
14-Oct-2017 18:36,14-Oct-2017 18:36,95.0
14-Oct-2017 18:42,14-Oct-2017 18:42,74.0
14-Oct-2017 18:50,14-Oct-2017 18:50,93.0
14-Oct-2017 18:55,14-Oct-2017 18:55,89.0
14-Oct-2017 19:01,14-Oct-2017 19:01,82.0
14-Oct-2017 19:04,14-Oct-2017 19:04,93.0
14-Oct-2017 19:12,14-Oct-2017 19:12,83.0
14-Oct-2017 19:18,14-Oct-2017 19:18,90.0
14-Oct-2017 19:22,14-Oct-2017 19:22,71.0
14-Oct-2017 19:27,14-Oct-2017 19:27,74.0
14-Oct-2017 20:05,14-Oct-2017 20:05,94.0
14-Oct-2017 20:09,14-Oct-2017 20:09,89.0
14-Oct-2017 20:10,14-Oct-2017 20:10,66.0
14-Oct-2017 20:23,14-Oct-2017 20:23,78.0
14-Oct-2017 20:37,14-Oct-2017 20:37,69.0
14-Oct-2017 20:49,14-Oct-2017 20:49,81.0
14-Oct-2017 21:04,14-Oct-2017 21:04,78.0
14-Oct-2017 21:19,14-Oct-2017 21:19,81.0
14-Oct-2017 21:23,14-Oct-2017 21:23,80.0
14-Oct-2017 21:30,14-Oct-2017 21:30,82.0
14-Oct-2017 21:53,14-Oct-2017 21:53,78.0
14-Oct-2017 21:57,14-Oct-2017 21:57,88.0
14-Oct-2017 22:02,14-Oct-2017 22:02,89.0
14-Oct-2017 22:25,14-Oct-2017 22:25,70.0
14-Oct-2017 22:35,14-Oct-2017 22:35,80.0
14-Oct-2017 22:37,14-Oct-2017 22:37,82.0
14-Oct-2017 22:47,14-Oct-2017 22:47,89.0
14-Oct-2017 22:51,14-Oct-2017 22:51,79.0
14-Oct-2017 22:58,14-Oct-2017 22:58,87.0
14-Oct-2017 23:01,14-Oct-2017 23:01,74.0
14-Oct-2017 23:17,14-Oct-2017 23:17,76.0
14-Oct-2017 23:24,14-Oct-2017 23:24,95.0
14-Oct-2017 23:41,14-Oct-2017 23:41,93.0
14-Oct-2017 23:51,14-Oct-2017 23:51,83.0
14-Oct-2017 23:52,14-Oct-2017 23:52,75.0
15-Oct-2017 00:01,15-Oct-2017 00:01,89.0
15-Oct-2017 00:05,15-Oct-2017 00:05,80.0
15-Oct-2017 00:08,15-Oct-2017 00:08,74.0
15-Oct-2017 00:16,15-Oct-2017 00:16,57.0
15-Oct-2017 00:20,15-Oct-2017 00:20,59.0
15-Oct-2017 00:28,15-Oct-2017 00:28,61.0
15-Oct-2017 00:33,15-Oct-2017 00:33,60.0
15-Oct-2017 00:39,15-Oct-2017 00:39,61.0
15-Oct-2017 00:45,15-Oct-2017 00:45,66.0
15-Oct-2017 00:52,15-Oct-2017 00:52,68.0
15-Oct-2017 00:54,15-Oct-2017 00:54,63.0
15-Oct-2017 00:58,15-Oct-2017 00:58,79.0
15-Oct-2017 01:02,15-Oct-2017 01:02,74.0
15-Oct-2017 01:10,15-Oct-2017 01:10,72.0
15-Oct-2017 01:17,15-Oct-2017 01:17,65.0
